VIN,接收时间,报文时间,报文内容,
LDP53A930HC108980,2019/10/26 7:53,2019/10/26 7:53,232301fe4c4450353341393330484331303839383001001e130a1a07350000d13839383630363137303330303137393339353038010023,232301
LDP53A930HC108980,2019/10/26 7:53,2019/10/23 22:58,232303fe4c44503533413933304843313038393830010089130a17163a0a010203010000000008d7002a00000002000000000002010103004e204e2000000027100500072d857801e1719c06011610680116106801fc0001fcd207000000000000000000080101002a0000001600011600000000000000000000000000000000000000000000000000000000000000000000000000000000000010680901010000e5,232303
LDP53A930HC108980,2019/10/26 7:53,2019/10/26 7:53,232302fe4c4450353341393330484331303839383001008d130a1a073518010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d861801e1730c0601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d20000004d,232302
LDP53A930HC108980,2019/10/26 7:53,2019/10/26 7:53,232302fe4c4450353341393330484331303839383001008d130a1a073531010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d861001e173020601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d200000062,232302
LDP53A930HC108980,2019/10/26 7:54,2019/10/26 7:54,232302fe4c4450353341393330484331303839383001008d130a1a07360e010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d860001e172de0601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d200000093,232302
LDP53A930HC108980,2019/10/26 7:54,2019/10/26 7:54,232302fe4c4450353341393330484331303839383001008d130a1a073627010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d85f001e172ae0601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d200000039,232302
LDP53A930HC108980,2019/10/26 7:55,2019/10/26 7:55,232302fe4c4450353341393330484331303839383001008d130a1a073704010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d85d001e172820601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d200000017,232302
LDP53A930HC108980,2019/10/26 7:55,2019/10/26 7:55,232302fe4c4450353341393330484331303839383001008d130a1a07371d010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d85d801e1727c0601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d2000000f8,232302
LDP53A930HC108980,2019/10/26 7:55,2019/10/26 7:55,232302fe4c4450353341393330484331303839383001008d130a1a073736010203010000000008d7007e2710090200ea390000020101033b4e204e2036005e27100500072d85d801e172740601081068010910680101d201020007000000000000000000080101007e2710001600011600000000000000000000000000001068106800000000000000000000000000000000000000000000000010680901010004d2000000db,232302
LDP53A930HC108980,2019/10/26 7:56,2019/10/26 7:56,232304fe4c44503533413933304843313038393830010008130a1a07381300d12b,232304
LDP53A930HC108980,2019/10/26 8:01,2019/10/26 8:01,232301fe4c4450353341393330484331303839383001001e130a1a08013900d23839383630363137303330303137393339353038010022,232301
LDP53A930HC108980,2019/10/26 8:02,2019/10/26 8:02,232302fe4c4450353341393330484331303839383001008d130a1a080215010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d85b001e1721e0601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d2000000e6,232302
LDP53A930HC108980,2019/10/26 8:02,2019/10/26 8:02,232302fe4c4450353341393330484331303839383001008d130a1a08022e010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d859801e171f00601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d200000018,232302
LDP53A930HC108980,2019/10/26 8:03,2019/10/26 8:03,232302fe4c4450353341393330484331303839383001008d130a1a08030b010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d85a001e171e40601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d200000010,232302
LDP53A930HC108980,2019/10/26 8:03,2019/10/26 8:03,232302fe4c4450353341393330484331303839383001008d130a1a080324010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d859801e171cc0601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d20000002f,232302
LDP53A930HC108980,2019/10/26 8:04,2019/10/26 8:04,232302fe4c4450353341393330484331303839383001008d130a1a080401010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d859801e171d40601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d200000015,232302
LDP53A930HC108980,2019/10/26 8:04,2019/10/26 8:04,232302fe4c4450353341393330484331303839383001008d130a1a08041a010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d859801e171d40601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d20000000e,232302
LDP53A930HC108980,2019/10/26 8:04,2019/10/26 8:04,232302fe4c4450353341393330484331303839383001008d130a1a080433010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d85a001e171ce0601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d200000005,232302
LDP53A930HC108980,2019/10/26 8:05,2019/10/26 8:05,232304fe4c44503533413933304843313038393830010008130a1a08050600d20f,232304
LDP53A930HC108980,2019/10/26 15:22,2019/10/26 15:22,232301fe4c4450353341393330484331303839383001001e130a1a0f162200d33839383630363137303330303137393339353038010028,232301
LDP53A930HC108980,2019/10/26 15:22,2019/10/26 8:05,232303fe4c4450353341393330484331303839383001008d130a1a080510010203010000000008d700542710090200ea580000020101033b4e204e2036006027100500072d85a001e171ce0601091068010910680101d20102000700000000000000000008010100542710001600011600000000000000000000000000000000106800000000000000000000000000000000000000000000000010680901010004d200000026,232303
LDP53A930HC108980,2019/10/26 15:23,2019/10/26 15:22,232302fe4c4450353341393330484331303839383001008d130a1a0f163a010103010000000008d700d22732090100d0c10000020101043d4e204e203702eb27100500072d862801e1736c0601021068010910680101d20102000700000000000000000008010100d22732001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000006b,232302
LDP53A930HC108980,2019/10/26 15:23,2019/10/26 15:23,232302fe4c4450353341393330484331303839383001008d130a1a0f1717010103010000000008d700d2272d090100e6ed0000020101043d4e204e203702eb27100500072d85f801e172540601021068010910680101d20102000700000000000000000008010100d2272d001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000b7,232302
LDP53A930HC108980,2019/10/26 15:23,2019/10/26 15:23,232302fe4c4450353341393330484331303839383001008d130a1a0f1730010103010000000008d700d2272c090100e7280000020101043d4e204e203702eb27100500072d85f801e172540601021068010910680101d20102000700000000000000000008010100d2272c001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000054,232302
LDP53A930HC108980,2019/10/26 15:24,2019/10/26 15:24,232302fe4c4450353341393330484331303839383001008d130a1a0f180d010103010000000008d700d2272b090100e7dc0000020101043d4e204e203702eb27100500072d85f001e172540601021068010210680101d20102000700000000000000000008010100d2272b001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000091,232302
LDP53A930HC108980,2019/10/26 15:24,2019/10/26 15:24,232302fe4c4450353341393330484331303839383001008d130a1a0f1826010103010000000008d700d2272a090100e7dc0000020101043d4e204e203702eb27100500072d85f001e172600601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000085,232302
